image,line_num,line_pos,text,auto_label,corrected_label
11.jpg,0,0.0,WHOLE,item,header
11.jpg,1,0.048,FOODS,item,header
11.jpg,2,0.095,CMKARRKSNENT,item,noise
11.jpg,3,0.143,SHARON RD.,item,header
11.jpg,4,0.19,PL TORTILLA'S 6.99,item,item
11.jpg,5,0.238,CAGE FREE ALL WHIT 3.69,item,item
11.jpg,6,0.286,BLACK BEANS 1.29,item,item
11.jpg,7,0.333,Frozen Mangoes 16o 2.99,item,item
11.jpg,8,0.381,Whole Strawberries 2.99,item,item
11.jpg,9,0.429,OG LF COTTAGE CHEE 3.49,item,item
11.jpg,10,0.476,MAHI MAHI FILLETS 8.99,item,item
11.jpg,11,0.524,*VC $2 off (1) WC Fill 2.00-,discount,noise
11.jpg,12,0.571,California Harvest 2.69,item,item
11.jpg,13,0.619,1.08 1b 1.99 /1b TARE .01,weight,weight
11.jpg,14,0.667,*WT PLUMS BLACK Cv 2.15,item,item
11.jpg,15,0.714,ITEM 4040,noise,noise
11.jpg,16,0.762,NHP SLICED OVEN RO 3.99,item,item
11.jpg,17,0.81,NHP SLICED HICKORY 3.99,item,item
11.jpg,18,0.857,1.64 1b @ 1.99 /1b TARE .01,weight,weight
11.jpg,19,0.905,WT GALA APPLES OG 3.26,item,item
11.jpg,20,0.952,ITEM 94135,noise,noise
11.jpg,21,1.0,**** TAX .93 BAL 45.44,metadata,noise
12.jpg,0,0.0,WAL* MART,item,header
12.jpg,1,0.034,Save money. Live better.,item,header
12.jpg,2,0.069,WE SELL FOR LESS,item,header
12.jpg,3,0.103,ALWAYS,item,header
12.jpg,4,0.138,MANAGER DAPHNE SESSION,item,header
12.jpg,5,0.172,636 536 4601,noise,header
12.jpg,6,0.207,"CHESTERFIELD,MO 63005",item,header
12.jpg,7,0.241,ST# 2600 0P# 00001855 TE# 17 TR# 03359,item,header
12.jpg,8,0.276,SW FIGURES 065356920144 6.63 X,item,item
12.jpg,9,0.31,TOOTHBRUSH 003500055500 0.96,item,item
12.jpg,10,0.345,SUBTOTAL 7.59,metadata,noise
12.jpg,11,0.379,WOMEN SLIPPE 009725614790 9.86,item,item
12.jpg,12,0.414,SUBTOTAL 17.45,metadata,noise
12.jpg,13,0.448,TAX 3.100 % 0.54,metadata,noise
12.jpg,14,0.483,-M,noise,noise
12.jpg,15,0.517,TAX 4.350 % 0.76,metadata,noise
12.jpg,16,0.552,TOTAL 18.75,metadata,noise
